mcsteps,1,2,3,4,5,6,7,8,9,10
0,114.0,112.0,156.0,20.0,4.0,0.0,19.0,0.0,0.0,12.0
10000,114.0,49.0,73.0,8.0,5.0,0.0,16.0,2.0,0.0,7.0
20000,114.0,45.0,56.0,8.0,4.0,0.0,26.0,3.0,2.0,6.0
30000,114.0,36.0,45.0,8.0,5.0,0.0,30.0,2.0,3.0,6.0
40000,114.0,31.0,29.0,8.0,4.0,0.0,36.0,4.0,2.0,6.0
50000,114.0,24.0,23.0,7.0,5.0,0.0,32.0,6.0,4.0,6.0
60000,114.0,19.0,19.0,7.0,4.0,0.0,28.0,5.0,5.0,6.0
70000,114.0,16.0,12.0,7.0,2.0,0.0,26.0,3.0,10.0,5.0
80000,114.0,9.0,8.0,7.0,3.0,0.0,21.0,4.0,9.0,5.0
90000,114.0,7.0,6.0,7.0,0.0,0.0,17.0,2.0,10.0,5.0
100000,114.0,16.0,91.0,17.0,1.0,0.0,28.0,4.0,7.0,15.0
110000,114.0,5.0,34.0,11.0,2.0,0.0,14.0,3.0,0.0,4.0
120000,114.0,4.0,28.0,10.0,3.0,0.0,13.0,3.0,5.0,5.0
130000,114.0,4.0,21.0,10.0,2.0,0.0,14.0,1.0,7.0,5.0
140000,114.0,3.0,16.0,10.0,1.0,0.0,13.0,1.0,8.0,5.0
150000,114.0,3.0,13.0,10.0,1.0,0.0,13.0,2.0,4.0,5.0
160000,114.0,3.0,11.0,10.0,1.0,0.0,12.0,1.0,4.0,5.0
170000,114.0,3.0,11.0,10.0,1.0,0.0,9.0,2.0,6.0,5.0
180000,114.0,0.0,6.0,10.0,0.0,0.0,12.0,0.0,7.0,5.0
190000,114.0,0.0,4.0,10.0,0.0,0.0,12.0,1.0,6.0,5.0
200000,114.0,10.0,100.0,20.0,0.0,0.0,15.0,1.0,5.0,15.0
210000,114.0,3.0,36.0,10.0,0.0,0.0,6.0,1.0,0.0,7.0
220000,114.0,2.0,29.0,10.0,0.0,0.0,7.0,0.0,1.0,7.0
230000,114.0,2.0,22.0,10.0,0.0,0.0,13.0,0.0,1.0,7.0
240000,114.0,1.0,16.0,10.0,1.0,0.0,14.0,1.0,1.0,7.0
250000,114.0,0.0,14.0,10.0,2.0,0.0,15.0,0.0,2.0,7.0
260000,114.0,0.0,11.0,10.0,2.0,0.0,15.0,1.0,2.0,7.0
270000,114.0,0.0,7.0,10.0,2.0,0.0,15.0,1.0,3.0,7.0
280000,114.0,0.0,7.0,10.0,1.0,0.0,13.0,2.0,3.0,7.0
290000,114.0,0.0,5.0,10.0,0.0,0.0,11.0,4.0,5.0,7.0
300000,114.0,10.0,87.0,19.0,0.0,0.0,27.0,1.0,10.0,18.0
310000,114.0,3.0,31.0,9.0,1.0,0.0,13.0,2.0,1.0,9.0
320000,114.0,3.0,24.0,9.0,1.0,0.0,16.0,0.0,2.0,9.0
330000,114.0,2.0,15.0,9.0,1.0,0.0,20.0,2.0,2.0,9.0
340000,114.0,2.0,11.0,9.0,1.0,0.0,17.0,4.0,4.0,9.0
350000,114.0,1.0,9.0,9.0,1.0,0.0,16.0,1.0,9.0,9.0
360000,114.0,0.0,8.0,9.0,1.0,0.0,10.0,6.0,9.0,9.0
370000,114.0,0.0,6.0,8.0,0.0,0.0,11.0,0.0,14.0,10.0
380000,114.0,0.0,5.0,8.0,0.0,0.0,9.0,1.0,14.0,10.0
390000,114.0,0.0,3.0,8.0,0.0,0.0,8.0,1.0,14.0,10.0
400000,114.0,9.0,93.0,18.0,1.0,0.0,17.0,1.0,15.0,20.0
410000,114.0,2.0,27.0,12.0,1.0,0.0,9.0,0.0,2.0,13.0
420000,114.0,2.0,23.0,12.0,1.0,0.0,10.0,1.0,2.0,13.0
430000,114.0,2.0,19.0,11.0,1.0,0.0,11.0,3.0,3.0,12.0
440000,114.0,1.0,12.0,11.0,1.0,0.0,10.0,4.0,5.0,12.0
450000,114.0,1.0,8.0,11.0,1.0,0.0,13.0,0.0,9.0,10.0
460000,114.0,1.0,6.0,11.0,1.0,0.0,14.0,0.0,9.0,10.0
470000,114.0,1.0,4.0,11.0,0.0,0.0,14.0,1.0,9.0,10.0
480000,114.0,0.0,4.0,10.0,0.0,0.0,11.0,3.0,9.0,9.0
490000,114.0,0.0,2.0,10.0,0.0,0.0,11.0,2.0,12.0,9.0
500000,114.0,8.0,83.0,20.0,2.0,0.0,28.0,2.0,13.0,19.0
510000,114.0,3.0,33.0,10.0,1.0,0.0,11.0,1.0,1.0,9.0
520000,114.0,3.0,24.0,10.0,1.0,0.0,12.0,3.0,2.0,9.0
530000,114.0,3.0,14.0,10.0,1.0,0.0,18.0,1.0,5.0,9.0
540000,114.0,0.0,10.0,9.0,3.0,0.0,19.0,3.0,6.0,10.0
550000,114.0,0.0,6.0,9.0,2.0,0.0,16.0,5.0,8.0,10.0
560000,114.0,0.0,5.0,9.0,1.0,0.0,13.0,2.0,14.0,10.0
570000,114.0,0.0,5.0,8.0,1.0,0.0,10.0,2.0,17.0,10.0
580000,114.0,0.0,2.0,7.0,0.0,0.0,9.0,1.0,18.0,10.0
590000,114.0,0.0,0.0,7.0,0.0,0.0,8.0,1.0,19.0,10.0
600000,114.0,10.0,86.0,17.0,0.0,0.0,20.0,2.0,20.0,20.0
610000,114.0,4.0,38.0,6.0,1.0,0.0,14.0,0.0,0.0,9.0
620000,114.0,3.0,30.0,6.0,1.0,0.0,16.0,2.0,1.0,9.0
630000,114.0,1.0,21.0,6.0,2.0,0.0,23.0,1.0,3.0,9.0
640000,114.0,0.0,12.0,6.0,1.0,0.0,22.0,2.0,5.0,9.0
650000,114.0,0.0,9.0,5.0,1.0,0.0,18.0,2.0,9.0,9.0
660000,114.0,0.0,6.0,5.0,1.0,0.0,14.0,5.0,11.0,9.0
670000,114.0,0.0,4.0,4.0,1.0,0.0,13.0,2.0,16.0,10.0
680000,114.0,0.0,3.0,4.0,1.0,0.0,13.0,0.0,18.0,10.0
690000,114.0,0.0,2.0,4.0,1.0,0.0,10.0,3.0,18.0,10.0
700000,114.0,10.0,81.0,14.0,0.0,0.0,28.0,3.0,21.0,20.0
710000,114.0,3.0,30.0,6.0,0.0,0.0,17.0,0.0,0.0,9.0
720000,114.0,3.0,21.0,6.0,0.0,0.0,21.0,1.0,1.0,9.0
730000,114.0,2.0,19.0,6.0,1.0,0.0,18.0,2.0,3.0,9.0
740000,114.0,2.0,13.0,6.0,1.0,0.0,21.0,2.0,5.0,9.0
750000,114.0,1.0,9.0,6.0,1.0,0.0,19.0,2.0,7.0,8.0
760000,114.0,1.0,8.0,6.0,1.0,0.0,16.0,3.0,9.0,8.0
770000,114.0,1.0,5.0,6.0,1.0,0.0,14.0,3.0,12.0,8.0
780000,114.0,1.0,3.0,6.0,0.0,0.0,11.0,2.0,15.0,8.0
790000,114.0,0.0,2.0,6.0,0.0,0.0,11.0,0.0,16.0,8.0
800000,114.0,10.0,83.0,16.0,0.0,0.0,27.0,2.0,16.0,18.0
810000,114.0,6.0,29.0,9.0,0.0,0.0,7.0,3.0,1.0,9.0
820000,114.0,4.0,26.0,9.0,1.0,0.0,9.0,1.0,4.0,9.0
830000,114.0,4.0,20.0,9.0,1.0,0.0,11.0,2.0,5.0,9.0
840000,114.0,3.0,13.0,9.0,0.0,0.0,13.0,1.0,7.0,9.0
850000,114.0,2.0,7.0,9.0,0.0,0.0,12.0,2.0,8.0,8.0
860000,114.0,2.0,6.0,9.0,0.0,0.0,12.0,1.0,10.0,8.0
870000,114.0,1.0,2.0,9.0,0.0,0.0,13.0,1.0,10.0,7.0
880000,114.0,1.0,1.0,9.0,0.0,0.0,10.0,3.0,11.0,7.0
890000,114.0,1.0,1.0,9.0,0.0,0.0,9.0,0.0,14.0,7.0
900000,114.0,10.0,83.0,19.0,1.0,0.0,24.0,3.0,14.0,17.0
910000,114.0,6.0,28.0,9.0,1.0,0.0,16.0,0.0,1.0,7.0
920000,114.0,6.0,22.0,7.0,1.0,0.0,15.0,1.0,2.0,8.0
930000,114.0,4.0,19.0,7.0,3.0,0.0,13.0,4.0,3.0,8.0
940000,114.0,2.0,16.0,6.0,4.0,0.0,11.0,1.0,9.0,9.0
950000,114.0,2.0,8.0,6.0,3.0,0.0,14.0,1.0,11.0,9.0
960000,114.0,0.0,6.0,6.0,3.0,0.0,15.0,0.0,11.0,8.0
970000,114.0,0.0,5.0,6.0,2.0,0.0,9.0,5.0,13.0,8.0
980000,114.0,0.0,1.0,6.0,1.0,0.0,9.0,1.0,18.0,8.0
990000,114.0,0.0,0.0,5.0,1.0,0.0,9.0,0.0,19.0,8.0
1000000,114.0,9.0,73.0,15.0,1.0,0.0,34.0,0.0,19.0,18.0
