meanconcen,il8mean,il1mean,il6mean,il10mean,tnfmean,tgfmean,il8std,il1std,il6std,il10std,tnfstd,tgfstd
0,6.4648433e-09,0.0,0.0,0.0,0.0,0.0,1.0900552e-08,0.0,0.0,0.0,0.0,0.0
10000,1.7062833e-08,2.5742844e-10,0.0,0.0,3.1822198e-10,0.0,1.982373e-08,2.9294858e-09,0.0,0.0,3.6213044e-09,0.0
20000,2.127036e-08,2.605037e-10,3.4853023e-10,7.336443e-11,4.0892967e-10,0.0,2.4644162e-08,2.9588487e-09,3.958543e-09,8.3325974e-10,3.760585e-09,0.0
30000,2.5696854e-08,2.787283e-10,1.8737094e-10,3.928215e-11,3.8969838e-10,2.1876075e-10,2.8023747e-08,3.0597689e-09,2.9148084e-09,6.110868e-10,3.821292e-09,3.4031185e-09
40000,2.948555e-08,4.424883e-10,3.9571119e-10,8.329586e-11,6.4563177e-10,4.642695e-10,3.0288927e-08,3.8405132e-09,4.2157633e-09,8.874039e-10,4.833251e-09,4.9461595e-09
50000,3.2650526e-08,7.740672e-10,4.1759382e-10,8.790209e-11,1.0640346e-09,4.937191e-10,3.192994e-08,5.040344e-09,4.329705e-09,9.113882e-10,6.3127383e-09,5.1162403e-09
60000,3.6429658e-08,1.1668478e-09,4.4860327e-10,9.4429464e-11,1.554265e-09,7.8948964e-10,3.289208e-08,6.1587015e-09,4.4860324e-09,9.442946e-10,7.6609075e-09,6.4300125e-09
70000,3.9962014e-08,1.2442487e-09,4.794596e-10,1.00924616e-10,1.6611187e-09,5.6252775e-10,3.345431e-08,6.3443935e-09,4.636154e-09,9.758947e-10,7.908508e-09,5.439383e-09
80000,4.2519098e-08,1.1073871e-09,4.9517956e-10,1.0423362e-10,1.4887633e-09,1.1661041e-09,3.3781532e-08,6.014803e-09,4.7107167e-09,9.915899e-10,7.470862e-09,7.800776e-09
90000,4.6054556e-08,5.96049e-10,7.9957585e-10,1.6830663e-10,9.38103e-10,1.2508008e-09,3.3630315e-08,4.4471244e-09,5.965594e-09,1.2557375e-09,5.651949e-09,8.057693e-09
100000,2.7552293e-08,2.3307647e-10,3.135568e-10,6.6002606e-11,3.6786052e-10,9.2501906e-10,3.4731134e-08,2.784965e-09,3.756141e-09,7.9065504e-10,3.5686296e-09,6.971195e-09
110000,4.1400938e-08,7.372246e-12,1.08604625e-14,1.2301255e-17,1.5559529e-13,8.2216234e-10,3.577954e-08,9.4214705e-11,1.5086798e-13,1.708945e-16,2.1593072e-12,6.5591905e-09
120000,4.2853678e-08,1.5340511e-12,4.783623e-10,1.0043837e-10,1.2241365e-10,9.48611e-13,3.5804973e-08,1.3570656e-11,4.6353947e-09,9.73768e-10,1.1868391e-09,1.2153097e-11
130000,4.497978e-08,3.6589018e-14,5.7899123e-13,4.4445826e-15,4.6322543e-16,5.8848343e-10,3.5848867e-08,2.605842e-13,7.789516e-12,5.979575e-14,6.2320364e-15,5.581574e-09
140000,4.560587e-08,1.1938805e-12,2.504606e-10,5.269366e-11,6.4242944e-11,7.480757e-10,3.601615e-08,1.4318372e-11,3.3584602e-09,7.0694656e-10,8.61899e-10,5.9405023e-09
150000,4.6440693e-08,2.2471249e-13,2.5312252e-10,5.328143e-11,6.495995e-11,8.917911e-10,3.6095084e-08,1.8324528e-12,3.3770757e-09,7.108629e-10,8.666739e-10,6.8238992e-09
160000,4.8774712e-08,3.4300893e-13,5.031373e-13,3.9416598e-15,4.0002709e-16,8.8391466e-10,3.5815738e-08,2.1614208e-12,6.5380587e-12,5.1387456e-14,5.2094995e-15,6.629623e-09
170000,5.0194387e-08,1.5008353e-13,3.2261293e-15,3.546786e-18,8.7526533e-20,6.376177e-10,3.563363e-08,8.2031235e-13,3.6979378e-14,4.4750018e-17,9.804726e-19,5.7824057e-09
180000,5.1980397e-08,5.158976e-12,5.6077526e-10,1.1779598e-10,1.4357553e-10,6.5663874e-10,3.5240987e-08,4.3882464e-11,5.015433e-09,1.0535988e-09,1.2841371e-09,5.8700063e-09
190000,5.321582e-08,2.007254e-13,8.665214e-10,1.805202e-10,2.1961558e-10,1.0034726e-09,3.4959324e-08,1.0294083e-12,6.1647887e-09,1.2975822e-09,1.5820373e-09,7.232653e-09
200000,3.003616e-08,7.497215e-12,3.1876174e-10,6.695771e-11,8.2275915e-11,1.1395621e-09,3.714506e-08,1.0458491e-10,3.7915076e-09,7.96487e-10,9.707757e-10,7.632051e-09
210000,4.517288e-08,3.68817e-12,4.3351244e-15,1.0747313e-18,4.993508e-15,8.172399e-12,3.7735887e-08,4.1454253e-11,3.5553784e-14,1.0067493e-17,6.8465524e-14,7.6102506e-11
220000,4.653002e-08,1.1156098e-12,8.562269e-15,2.3052029e-18,1.7380952e-17,1.2334119e-12,3.7582925e-08,8.017323e-12,1.0504876e-13,2.9565662e-17,1.7710322e-16,1.0390087e-11
230000,4.7249355e-08,1.092767e-11,1.2447555e-09,2.6201583e-10,3.2044067e-10,2.0643255e-12,3.7615013e-08,1.3382717e-10,7.4060043e-09,1.5589391e-09,1.900516e-09,1.6400561e-11
240000,4.858445e-08,3.7857183e-12,2.5697017e-10,5.367153e-11,6.5360425e-11,1.5158168e-09,3.732685e-08,4.4221734e-11,3.3864638e-09,7.1283984e-10,8.690887e-10,8.784469e-09
250000,5.00326e-08,1.9476903e-10,2.6040733e-10,5.4812516e-11,3.054931e-10,1.8594944e-09,3.692065e-08,2.5393425e-09,3.4249756e-09,7.2094597e-10,3.2550052e-09,9.698928e-09
260000,5.1137956e-08,1.9823854e-10,1.2928612e-10,4.2066604e-11,3.080085e-10,2.2143392e-09,3.6870503e-08,2.568939e-09,1.6801898e-09,5.4686505e-10,3.2772016e-09,1.0581468e-08
270000,5.1514917e-08,1.9938647e-10,5.3620713e-10,1.1286836e-10,3.833351e-10,2.2367315e-09,3.694851e-08,2.5764835e-09,4.899709e-09,1.0313723e-09,3.4143375e-09,1.0589979e-08
280000,5.269085e-08,4.0654305e-10,5.459415e-10,1.1490832e-10,6.404313e-10,2.9228513e-09,3.6561733e-08,3.6650285e-09,4.9432454e-09,1.0405374e-09,4.690077e-09,1.2143054e-08
290000,5.468566e-08,5.390199e-12,2.9676891e-10,6.01635e-11,7.289291e-11,4.034332e-09,3.5994116e-08,5.4794492e-11,3.5728456e-09,7.516222e-10,9.163698e-10,1.410081e-08
300000,3.174824e-08,9.7475404e-12,3.2432404e-10,6.812961e-11,8.386488e-11,1.7237803e-09,3.814181e-08,9.7839355e-11,3.815554e-09,8.0317103e-10,9.792385e-10,9.376921e-09
310000,4.99773e-08,2.0966063e-12,1.0430297e-10,3.8763506e-11,6.0790505e-11,3.2244085e-10,3.7860506e-08,1.15122625e-11,1.3796977e-09,5.12793e-10,8.041821e-10,4.0022297e-09
320000,5.0642296e-08,8.042766e-13,2.5916105e-10,5.4501223e-11,6.6444954e-11,3.269936e-10,3.7531546e-08,3.5985347e-12,3.415216e-09,7.1889494e-10,8.764666e-10,4.0133603e-09
330000,5.212246e-08,1.2609831e-12,2.6813043e-10,5.6434205e-11,6.8803734e-11,3.475045e-10,3.7545977e-08,5.790386e-12,3.4749732e-09,7.3147055e-10,8.9179836e-10,4.0843036e-09
340000,5.360608e-08,1.6266049e-12,1.6156144e-14,4.7739443e-18,1.4681567e-17,1.0127856e-09,3.7011493e-08,7.2399053e-12,1.0657454e-13,3.3929906e-17,1.7889276e-16,7.1071713e-09
350000,5.469144e-08,1.8926197e-12,3.0170574e-10,6.024094e-11,7.2398414e-11,1.0215766e-09,3.6704986e-08,1.185091e-11,3.5871734e-09,7.483278e-10,9.111672e-10,7.2026936e-09
360000,5.639645e-08,1.3264396e-12,5.735872e-10,1.2072629e-10,1.4718773e-10,1.3816865e-09,3.5852747e-08,6.3901965e-12,5.0652806e-09,1.0662256e-09,1.2999266e-09,8.356521e-09
370000,5.7236655e-08,1.3618975e-12,2.08159e-14,5.926334e-18,6.179481e-19,2.1001858e-09,3.5901007e-08,5.255315e-12,1.1799756e-13,3.6298892e-17,3.4131559e-18,1.0276208e-08
380000,5.8453214e-08,1.0327615e-12,5.961921e-10,1.254918e-10,1.5299778e-10,2.4938742e-09,3.5404298e-08,4.7588075e-12,5.1629825e-09,1.0867909e-09,1.3249997e-09,1.11841e-08
